year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1988,16.902500133513435,18.51693961013958,17.748319595801647,0.4636524607815977,0.31677770044810044,0.4156336999540685,7.376799741570336,18.897874607320688,-0.7686200143379338,-0.700569695034531,-0.5673429634280875,-0.09871302539400162,0.8542786908967445,0.07085308304483107,0.03889573079220909,0.03322779398264058,0.03762528906219049,0.9645105649611313
1989,17.003031323349642,18.567444447134623,17.816021643770352,0.4716949459161299,0.3205113581622714,0.4162439907912031,7.415811949025421,18.953859208135864,-0.7514228033642709,-0.4701372068461698,-0.700569695034531,-0.05278143512990674,0.8485849736357954,0.10053118983620735,0.05598460081517587,0.047507691006756544,0.0530234988294508,1.0170324315166914
1990,17.040067286980953,18.61751311453928,17.87913338800083,0.4778875971551382,0.3233585545173051,0.4656652389700015,8.32569092169994,19.008126883534008,-0.7383797265384473,-0.09521789419012804,-0.4701372068461698,-0.047935670882353065,0.8438315783014722,0.03703596363131112,0.05426767539814392,0.04579277818196776,-0.00875681455065664,1.0081653474890393
1991,17.116396175818338,18.66272634093317,17.931982946302362,0.4815508746614676,0.3250316157867352,0.4341830271623798,7.78576263864973,19.05581576834229,-0.7307433946308066,-0.3008361907376731,-0.09521789419012804,-0.03679072590173593,0.8415462579438056,0.07632888883738431,0.04768888480828082,0.04013240255592192,0.036196486281462395,1.0453258737208573
1992,17.23120802859673,18.71385826935004,18.017757505736835,0.4985253872409972,0.33267730495968123,0.4150036428256035,7.477435000429145,19.11833981875021,-0.6961007636132059,-0.2634672228969652,-0.3008361907376731,0.016734509674804166,0.8300593620952352,0.11481185277839145,0.06252405040792297,0.051898673397210875,0.06291317938118057,1.1132034580468428
1993,17.29857322468766,18.77043112964432,18.121525372376823,0.5226173342125345,0.3432361647733514,0.4061028796031479,7.359203636523736,19.190861914083,-0.6489057572674959,-0.25042410263186987,-0.2634672228969652,0.02364424401360221,0.8140513643073901,0.0673651960909325,0.07252209533278986,0.05903671064808819,0.008328485442844306,1.122513472186059
1994,17.354053034139593,18.826389095293283,18.22397968788293,0.5474909169852625,0.3537926529816759,0.4066280414062997,7.410381167112026,19.263023951376265,-0.6024094074103523,-0.2384049977046896,-0.25042410263186987,0.023662526971198083,0.7979651926280085,0.05547980945193132,0.07216203729326409,0.05758279398914901,-0.002102984537217696,1.1201553241547408
1995,17.453848714851386,18.855425506883467,18.38027751946655,0.6217930321112852,0.38339851004404774,0.3866670095911675,7.107046943907893,19.338957854010452,-0.47514798741691777,-0.236431047898904,-0.2384049977046896,0.1042452071743245,0.7530632799372717,0.09979568071179301,0.07593390263418698,0.05718303377613829,0.042612646935654724,1.168919718663726
1996,17.524966669638847,18.88826612915218,18.53811479982044,0.7045814578094843,0.41334572459501273,0.4024880657943085,7.461369969252575,19.42158573046206,-0.3501513293317373,-9.084498447009536e-5,-0.236431047898904,0.16842734535944448,0.7072880256523619,0.07111795478746075,0.08262787645160685,0.058441707599304296,0.01267624718815645,1.1838315472956495
1997,17.588881477612897,18.92184660620563,18.70204658787589,0.8026793030606145,0.44527016075339326,0.3972574387492811,7.429527126869308,19.511120666087535,-0.21980001832973883,0.01003527498684064,-9.084498447009536e-5,0.21545276172532635,0.6587191140060955,0.0639148079740508,0.08953493562547621,0.05897837346780648,0.004936434506244321,1.1896899019908849
