"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1966,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1967,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1968,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1969,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1970,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1971,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1972,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1973,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1974,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1975,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1976,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1977,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1978,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1979,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1980,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1981,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1982,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1983,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1984,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1985,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1986,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1987,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1988,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1989,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1990,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1991,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1992,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1993,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1994,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1995,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1996,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1997,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1998,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1999,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2000,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2001,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2002,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2003,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2004,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2005,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2006,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2007,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2008,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2009,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2010,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2011,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2012,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2013,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2014,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2015,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2016,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2017,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2018,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2019,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2020,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2021,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2022,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2023,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",2024,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
